rank,symbol,exchange,direction,trade_action,trade_action_reason,execution_label,execution_mode,execution_summary,score,grade,price,change_pct_24h,quote_volume_24h,entry_low,entry_high,stop,target,rr,long_score,short_score,data_completeness,available_score_max,reasons,warnings,data_time
11,PORTALUSDT,bybit-linear,short,觀察,穩定分數 67.5，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,71.5,C,0.036406,163.882,156042704.5459,0.036721,0.036813,0.03884237142857143,0.032616257142857125,2.0,43.7,71.5,100.0,100.0,+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +5.0/14 4H 位於溢價區 position=0.69 | +16.0/16 15m MSS 收盤突破 0.038448 | +9.5/14 2026-06-01T12:55:00+00:00 short FVG 尚未完全填補，且與 OB 重疊，且與 OTE 重疊 | +10.0/10 價格位於 OTE 0.62-0.79 回撤區 (0.63)，且與 FVG 入場區重疊 | +12.0/12 以最近流動性目標估算 RR=2.00 | +3.0/6 24h 成交額 > 1 億 USDT,沒有明確大實體單向位移 | trendline 未納入分母：未形成有效 2-3 觸點趨勢線破位，屬於未觸發加分項 | amd 未納入分母：AMD 未進入可交易階段：no_accumulation | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
12,TAOUSDT,bybit-linear,short,觀察,穩定分數 70.1，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,70.1,C,249.67,-3.2811,35330910.3773,253.81,254.52,254.963,249.43,5.9335839598999645,57.98179692445928,70.1,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +16.0/16 15m MSS 收盤突破 249.95 | +11.4/12 15m 位移 K body/ATR=1.61 但 FVG 不明顯 | +10.7/14 2026-06-01T04:30:00+00:00 short FVG 已回補測試但未完全填補，且與 OB 重疊 | +1.0/5 共振加分：AMD phase=accumulation_only | +10.0/12 以最近流動性目標估算 RR=5.93 | +5.0/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.83 且方向一致",trendline 未納入分母：未形成有效 2-3 觸點趨勢線破位，屬於未觸發加分項 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet | 現價離入場區約 1.66%，依圖片規則不追價，等回補/回測再看,2026-06-01T12:55:00+00:00
13,WLDUSDT,bybit-linear,short,觀察,穩定分數 68.5，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,68.5,C,0.3744,12.5037,138872455.9131,0.3859,0.3919,0.40047714285714286,0.3725,1.4165844027640713,42.95072345072344,68.5,100.0,100.0,+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +9.5/14 4H 位於溢價區 position=0.79、接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 0.3853 | +12.0/14 2026-06-01T07:45:00+00:00 short FVG 已回補測試但未完全填補，且與 OB 重疊，且與 OTE 重疊 | +10.0/10 價格位於 OTE 0.62-0.79 回撤區 (0.65)，且與 FVG 入場區重疊 | +1.0/4 共振加分：4H 有 2 觸點趨勢線，但尚未破位 | +1.0/12 RR=1.42 偏低 | +3.0/6 24h 成交額 > 1 億 USDT,沒有明確大實體單向位移 | amd 未納入分母：AMD 未進入可交易階段：no_accumulation | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet | 現價離入場區約 3.07%，依圖片規則不追價，等回補/回測再看,2026-06-01T12:55:00+00:00
14,LTCUSDT,bybit-linear,long,觀察,穩定分數 68.2，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看多 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,68.15,C,51.09,-2.4068,20012058.975,51.04,51.05,50.989285714285714,51.28,4.2179487179485475,68.15,56.7,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +5.0/14 4H 位於折價區 position=0.09 | +12.0/12 15m 位移 K body/ATR=1.34 並留下 FVG | +11.7/14 2026-06-01T12:30:00+00:00 long FVG 已回補測試但未完全填補，且與 OB 重疊 | +5.0/10 價格接近 OTE 區但未進核心帶 (0.83) | +1.0/4 共振加分：4H 有 3 觸點趨勢線，但尚未破位 | +2.2/5 共振加分：AMD phase=manipulation_seen_waiting_distribution | +12.0/12 以最近流動性目標估算 RR=4.22 | +3.2/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.79，但 BTC 方向不完全同向",15m 尚未確認 MSS/BOS | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
15,TONUSDT,bybit-linear,long,觀察,穩定分數 69.9，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看多 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,67.7,C,1.9518,2.7587,100659217.3396,1.9255,1.938,1.9157,1.9595,1.7289719626168059,67.7,59.5,100.0,100.0,+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +3.5/14 4H 位於折價區 position=0.40 | +16.0/16 15m MSS 收盤突破 1.9462 | +12.0/12 15m 位移 K body/ATR=1.44 並留下 FVG | +7.0/14 2026-06-01T12:45:00+00:00 long FVG 尚未完全填補 | +1.0/4 共振加分：4H 有 2 觸點趨勢線，但尚未破位 | +8.0/12 RR=1.73，可觀察但不是最漂亮 | +4.2/6 24h 成交額 > 1 億 USDT、與 BTC 相關性 0.51，但 BTC 方向不完全同向,amd 未納入分母：AMD 未進入可交易階段：no_accumulation | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
16,HOMEUSDT,bybit-linear,long,不能做,穩定分數 67.4，不符合交易條件。原始判斷：現價離入場區 8.88%，不追價，等回補。；現價離入場區 8.88%，已脫離計畫，不追價。,不能做,禁止,穩定分數 67.4，不符合交易條件。原始判斷：現價離入場區 8.88%，不追價，等回補。；現價離入場區 8.88%，已脫離計畫，不追價。,67.36,C,0.047115,47.820299999999996,54797850.0553,0.0422,0.042931,0.0376484,0.0523997,2.0,67.3596184712837,39.0,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +16.0/16 15m MSS 收盤突破 0.046034 | +10.4/12 15m 位移 K body/ATR=1.25 但 FVG 不明顯 | +10.5/14 2026-06-01T11:30:00+00:00 long FVG 已回補測試但未完全填補 | +1.0/5 共振加分：AMD phase=accumulation_only | +10.0/12 以最近流動性目標估算 RR=2.00 | +2.0/6 24h 成交額 > 2,000 萬 USDT | +1.5/8 外部資料共振加分：交易所公開資料 funding 偏負，空方擁擠，對看多反轉加分",trendline 未納入分母：未形成有效 2-3 觸點趨勢線破位，屬於未觸發加分項 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet | 現價離入場區約 8.88%，依圖片規則不追價，等回補/回測再看 | 交易所公開資料 funding=-0.01042，可能有軋空/快速反抽風險,2026-06-01T12:55:00+00:00
17,XLMUSDT,bybit-linear,short,觀察,穩定分數 67.0，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,67.0,C,0.2658,2.8811,289125195.5467,0.26207060000000004,0.2675327,0.2697001428571429,0.2550046642857142,2.0,56.99999999999999,67.0,100.0,100.0,+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +9.5/14 4H 位於溢價區 position=0.80、接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 0.25425 | +8.5/10 價格位於 OTE 0.62-0.79 回撤區 (0.74) | +1.0/4 共振加分：4H 有 2 觸點趨勢線，但尚未破位 | +1.0/5 共振加分：AMD phase=accumulation_only | +12.0/12 以最近流動性目標估算 RR=2.00 | +3.0/6 24h 成交額 > 1 億 USDT,沒有明確大實體單向位移 | 近期找不到方向一致且未完全填補的 FVG | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet | 交易所公開資料 funding=-0.00024，可能有軋空/快速反抽風險,2026-06-01T12:55:00+00:00
18,VVVUSDT,bybit-linear,short,觀察,穩定分數 66.5，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,66.5,C,18.323,1.0924,27743710.6889,18.518,18.54,18.63977142857143,18.278,2.265927263347957,63.85748257304872,66.5,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +9.5/14 4H 位於溢價區 position=0.71、接近 4H FVG/失衡區 | +16.0/16 15m MSS 收盤突破 17.991 | +7.0/14 2026-06-01T09:00:00+00:00 short FVG 尚未完全填補 | +1.0/4 共振加分：4H 有 3 觸點趨勢線，但尚未破位 | +12.0/12 以最近流動性目標估算 RR=2.27 | +5.0/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.58 且方向一致",沒有明確大實體單向位移 | amd 未納入分母：AMD 未進入可交易階段：no_accumulation | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
19,ARBUSDT,bybit-linear,short,觀察,穩定分數 65.9，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,65.92,C,0.10016,-2.8041,21072365.0033,0.10202,0.10212,0.10258614285714286,0.10006,3.894270689177884,42.95,65.92232829632864,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +16.0/16 15m MSS 收盤突破 0.10035 | +9.7/12 15m 位移 K body/ATR=1.18 但 FVG 不明顯 | +8.2/14 2026-06-01T06:15:00+00:00 short FVG 尚未完全填補，且與 OB 重疊 | +1.0/5 共振加分：AMD phase=accumulation_only | +10.0/12 以最近流動性目標估算 RR=3.89 | +5.0/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.80 且方向一致",trendline 未納入分母：未形成有效 2-3 觸點趨勢線破位，屬於未觸發加分項 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet | 現價離入場區約 1.86%，依圖片規則不追價，等回補/回測再看,2026-06-01T12:55:00+00:00
20,NEARUSDT,bybit-linear,long,觀察,穩定分數 65.9，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看多 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,65.9,C,2.3709,2.3432999999999997,165362259.613,2.3274,2.3761,2.3190971428571427,2.3912,1.2081638010237516,65.9,51.5,100.0,100.0,+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +16.0/16 15m MSS 收盤突破 2.369 | +12.0/12 15m 位移 K body/ATR=2.58 並留下 FVG | +12.7/14 2026-06-01T12:30:00+00:00 long FVG 已回補測試但未完全填補，且與 OB 重疊 | +1.0/4 共振加分：4H 有 3 觸點趨勢線，但尚未破位 | +1.0/5 共振加分：AMD phase=accumulation_only | +3.0/12 RR=1.21 偏低 | +4.2/6 24h 成交額 > 1 億 USDT、與 BTC 相關性 0.57，但 BTC 方向不完全同向,nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
21,XAGUSDT,bybit-linear,short,觀察,穩定分數 65.7，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,65.73,C,75.92,0.676,20489433.3656,75.467,75.8665,75.97285714285715,75.05453571428572,2.0,45.7,65.72774327122123,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +4.5/14 接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 75.66 | +10.2/12 15m 位移 K body/ATR=1.24 但 FVG 不明顯 | +5.0/10 價格接近 OTE 區但未進核心帶 (0.82) | +12.0/12 以最近流動性目標估算 RR=2.00 | +2.0/6 24h 成交額 > 2,000 萬 USDT",近期找不到方向一致且未完全填補的 FVG | trendline 未納入分母：未形成有效 2-3 觸點趨勢線破位，屬於未觸發加分項 | amd 未納入分母：AMD 未進入可交易階段：no_accumulation | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
22,BNBUSDT,bybit-linear,short,觀察,穩定分數 65.5，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,65.45,C,692.9,-4.3484,251650612.756,706.2,708.7,711.81,692.7,3.3830275229358575,43.95,65.45,100.0,100.0,+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +3.5/14 4H 位於溢價區 position=0.55 | +16.0/16 15m MSS 收盤突破 694.9 | +10.7/14 2026-06-01T10:15:00+00:00 short FVG 已回補測試但未完全填補，且與 OB 重疊 | +1.0/4 共振加分：4H 有 5 觸點趨勢線，但尚未破位 | +2.2/5 共振加分：AMD phase=manipulation_seen_waiting_distribution | +10.0/12 以最近流動性目標估算 RR=3.38 | +6.0/6 24h 成交額 > 1 億 USDT、與 BTC 相關性 0.56 且方向一致,沒有明確大實體單向位移 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet | 現價離入場區約 1.92%，依圖片規則不追價，等回補/回測再看,2026-06-01T12:55:00+00:00
23,ASTERUSDT,bybit-linear,short,觀察,穩定分數 65.2，暫不下單。原始判斷：觀察；訊號尚未完整，只保留觀察。,觀察,不下單,看空 條件還不完整；先等 MSS/BOS、FVG/OTE、RR 或 API 風險改善。,65.2,C,0.6866,-6.7119,49124367.4874,0.6934,0.6989,0.7028642857142857,0.6853,1.6159574468085245,55.45,65.2,100.0,100.0,"+16.0/16 1H + 4H 出現有效流動性掃蕩並收回關鍵位 | +9.0/14 接近 4H FVG/失衡區、接近 4H 訂單塊 POI | +16.0/16 15m MSS 收盤突破 0.6963 | +9.2/14 2026-06-01T11:45:00+00:00 short FVG 尚未完全填補，且與 OB 重疊 | +1.0/4 共振加分：4H 有 2 觸點趨勢線，但尚未破位 | +1.0/5 共振加分：AMD phase=accumulation_only | +8.0/12 RR=1.62，可觀察但不是最漂亮 | +5.0/6 24h 成交額 > 2,000 萬 USDT、與 BTC 相關性 0.53 且方向一致",沒有明確大實體單向位移 | nexus 未納入分母：Nexus/Silver Bullet 未觸發：outside_silver_bullet,2026-06-01T12:55:00+00:00
